Gene,mean_logFC_expr,mean_logFC_bind,P_Value_bind,adjP_bind,abs_expr,abs_bind
MYB,1.251712549344322,-1.382188090014567,0.0495738054945796,1.0,1.251712549344322,1.382188090014567
BUB1,1.166548995268765,3.226993022677618,0.0003138866655243879,0.6022457506258013,1.166548995268765,3.226993022677618
HMGB2,1.029968241368156,2.270245238635856,0.0016707431084424,1.0,1.029968241368156,2.270245238635856
KIF14,0.7955439610347466,3.001738255299844,1.782242077378943e-05,0.1980974360331366,0.7955439610347466,3.001738255299844
AURKB,0.7917436534254338,1.653113994163559,0.018309604997865,1.0,0.7917436534254338,1.653113994163559
MYBL2,0.752479291740042,1.972979433048424,0.0030708668707498,1.0,0.752479291740042,1.972979433048424
E2F3,0.7443579777096523,1.525344459992908,0.0002153129311431321,0.5218295059089004,0.7443579777096523,1.525344459992908
MELK,0.6598811855893709,1.506094752520434,0.0241801111314818,1.0,0.6598811855893709,1.506094752520434
MBD4,0.598925308218589,-1.630896546922965,0.0240902636380751,1.0,0.598925308218589,1.630896546922965
BIRC5,0.5870980316487053,2.572413919117823,0.0001573703144456925,0.4449673249779051,0.5870980316487053,2.572413919117823
